param wind_avail : A	B	C	D	E	F	G	H	I	J	K :=
167	1.0	1.0	0.552	0.808	0.999	0.0	0.0	0.0	0.0	0.999	1.0
168	1.0	1.0	0.369	0.875	0.999	0.0	0.0	0.0	0.0	1.0	1.0
169	1.0	1.0	0.144	0.884	0.999	0.0	0.0	0.0	0.0	1.0	1.0
170	1.0	1.0	0.168	0.925	0.999	0.0	0.0	0.0	0.0	1.0	1.0
171	1.0	1.0	0.152	0.956	0.999	0.0	0.0	0.0	0.0	1.0	1.0
172	0.999	0.999	0.337	0.96	0.999	0.0	0.0	0.0	0.0	1.0	1.0
173	1.0	0.996	0.765	0.934	1.0	0.0	0.0	0.0	0.0	1.0	1.0
174	1.0	0.989	0.371	0.898	0.999	0.0	0.0	0.0	0.0	1.0	1.0
175	1.0	0.986	0.439	0.837	0.999	0.0	0.0	0.0	0.0	1.0	1.0
176	1.0	0.998	0.436	0.672	0.987	0.0	0.0	0.0	0.0	1.0	1.0
177	1.0	1.0	0.518	0.673	0.995	0.0	0.0	0.0	0.0	1.0	1.0
178	1.0	0.999	0.551	0.653	0.998	0.0	0.0	0.0	0.0	0.999	0.995
179	1.0	0.999	0.417	0.853	0.999	0.0	0.0	0.0	0.0	1.0	0.992
180	1.0	0.999	0.855	0.723	0.999	0.0	0.0	0.0	0.0	0.976	1.0
181	1.0	0.999	0.484	0.73	0.999	0.0	0.0	0.0	0.0	0.998	1.0
182	1.0	0.999	0.631	0.73	0.994	0.0	0.0	0.0	0.0	0.998	1.0
183	0.999	0.999	0.854	0.931	0.997	0.0	0.0	0.0	0.0	1.0	1.0
184	0.999	0.999	0.995	0.968	0.999	0.0	0.0	0.0	0.0	1.0	1.0
185	0.999	0.994	0.986	0.961	0.999	0.0	0.0	0.0	0.0	1.0	1.0
186	0.999	0.995	0.344	0.978	0.999	0.0	0.0	0.0	0.0	1.0	1.0
187	0.994	0.999	0.067	1.0	0.952	0.0	0.0	0.0	0.0	0.997	1.0
188	0.991	0.997	0.177	0.999	0.996	0.0	0.0	0.0	0.0	0.99	1.0
189	0.992	0.99	0.109	0.999	0.975	0.0	0.0	0.0	0.0	1.0	1.0
190	0.996	0.998	0.185	0.995	0.968	0.0	0.0	0.0	0.0	1.0	1.0
191	0.999	0.997	0.516	0.999	0.985	0.0	0.0	0.0	0.0	0.997	1.0
192	1.0	1.0	0.352	0.996	0.857	0.0	0.0	0.0	0.0	0.997	1.0
193	1.0	1.0	0.459	0.935	0.988	0.0	0.0	0.0	0.0	0.976	0.994
194	0.999	0.999	0.679	0.973	0.975	0.0	0.0	0.0	0.0	0.874	0.979
195	0.999	1.0	0.878	0.969	0.963	0.0	0.0	0.0	0.0	0.858	0.971
196	0.999	1.0	0.992	0.985	0.995	0.0	0.0	0.0	0.0	0.912	0.995
197	0.994	1.0	0.993	0.932	0.952	0.0	0.0	0.0	0.0	0.977	0.976
198	0.947	0.999	0.992	0.986	0.973	0.0	0.0	0.0	0.0	1.0	0.932
199	0.957	0.99	0.994	0.999	0.99	0.0	0.0	0.0	0.0	1.0	0.968
200	0.956	0.996	0.995	0.999	0.99	0.0	0.0	0.0	0.0	0.993	0.984
201	0.876	0.991	0.956	0.999	0.981	0.0	0.0	0.0	0.0	0.958	1.0
202	0.857	0.952	0.905	0.998	0.86	0.0	0.0	0.0	0.0	0.931	1.0
203	0.836	0.976	0.889	0.999	0.858	0.0	0.0	0.0	0.0	0.896	1.0
204	0.749	0.952	0.665	0.995	0.678	0.0	0.0	0.0	0.0	0.904	1.0
205	0.558	0.919	0.623	0.983	0.738	0.0	0.0	0.0	0.0	0.712	0.984
206	0.539	0.899	0.602	0.96	0.632	0.0	0.0	0.0	0.0	0.745	0.989
207	0.565	0.817	0.576	0.916	0.534	0.0	0.0	0.0	0.0	0.507	0.96
208	0.463	0.814	0.59	0.95	0.657	0.0	0.0	0.0	0.0	0.403	0.938
209	0.359	0.573	0.485	0.931	0.522	0.0	0.0	0.0	0.0	0.353	0.947
210	0.224	0.379	0.392	0.84	0.496	0.0	0.0	0.0	0.0	0.42	0.977
211	0.202	0.373	0.374	0.954	0.434	0.0	0.0	0.0	0.0	0.506	0.999
212	0.09	0.204	0.196	0.91	0.305	0.0	0.0	0.0	0.0	0.688	1.0
213	0.015	0.22	0.186	0.815	0.503	0.0	0.0	0.0	0.0	0.699	1.0
214	0.005	0.131	0.228	0.653	0.42	0.0	0.0	0.0	0.0	0.774	0.983
215	0.001	0.06	0.111	0.343	0.287	0.0	0.0	0.0	0.0	0.441	0.895
216	0.0	0.0	0.0	0.239	0.102	0.0	0.0	0.0	0.0	0.394	0.781
217	0.014	0.0	0.0	0.119	0.001	0.0	0.0	0.0	0.0	0.424	0.65
218	0.081	0.008	0.0	0.216	0.0	0.0	0.0	0.0	0.0	0.316	0.442
219	0.283	0.107	0.004	0.273	0.0	0.0	0.0	0.0	0.0	0.202	0.357
220	0.545	0.256	0.093	0.314	0.0	0.0	0.0	0.0	0.0	0.116	0.286
221	0.593	0.549	0.16	0.239	0.0	0.0	0.0	0.0	0.0	0.096	0.285
222	0.678	0.647	0.169	0.16	0.001	0.0	0.0	0.0	0.0	0.067	0.221
223	0.708	0.602	0.199	0.141	0.073	0.0	0.0	0.0	0.0	0.026	0.116
224	0.917	0.803	0.375	0.126	0.18	0.0	0.0	0.0	0.0	0.018	0.028
225	0.98	0.809	0.306	0.16	0.185	0.0	0.0	0.0	0.0	0.026	0.0
226	0.999	0.955	0.269	0.1	0.359	0.0	0.0	0.0	0.0	0.006	0.001
227	0.999	0.962	0.227	0.065	0.416	0.0	0.0	0.0	0.0	0.0	0.001
228	0.999	0.919	0.346	0.032	0.456	0.0	0.0	0.0	0.0	0.0	0.0
229	0.999	0.93	0.366	0.0	0.508	0.0	0.0	0.0	0.0	0.001	0.007
230	0.999	0.978	0.517	0.001	0.84	0.0	0.0	0.0	0.0	0.0	0.007
231	0.999	0.95	0.494	0.0	0.898	0.0	0.0	0.0	0.0	0.0	0.027
232	0.999	0.971	0.651	0.0	0.988	0.0	0.0	0.0	0.0	0.008	0.031
233	0.999	0.99	0.787	0.0	0.998	0.0	0.0	0.0	0.0	0.017	0.142
234	0.999	0.986	0.713	0.185	0.999	0.0	0.0	0.0	0.0	0.039	0.318
235	0.999	0.998	0.772	0.957	1.0	0.0	0.0	0.0	0.0	0.079	0.44
236	0.999	0.999	0.829	0.996	1.0	0.0	0.0	0.0	0.0	0.077	0.457
237	1.0	0.999	0.739	0.977	1.0	0.0	0.0	0.0	0.0	0.088	0.425
238	1.0	0.999	0.788	0.953	1.0	0.0	0.0	0.0	0.0	0.145	0.424
239	1.0	0.999	0.734	0.98	1.0	0.0	0.0	0.0	0.0	0.197	0.594
240	1.0	0.999	0.719	0.996	1.0	0.0	0.0	0.0	0.0	0.326	0.556
241	1.0	0.999	0.785	0.22	1.0	0.0	0.0	0.0	0.0	0.686	0.531
242	1.0	0.999	0.661	0.94	1.0	0.0	0.0	0.0	0.0	0.791	0.629
243	1.0	0.999	0.664	0.997	1.0	0.0	0.0	0.0	0.0	0.466	0.721
244	1.0	0.999	0.574	0.999	1.0	0.0	0.0	0.0	0.0	0.331	0.888
245	1.0	0.999	0.49	0.999	1.0	0.0	0.0	0.0	0.0	0.44	0.901
246	1.0	0.999	0.49	0.999	1.0	0.0	0.0	0.0	0.0	0.936	0.874
247	1.0	0.999	0.557	1.0	1.0	0.0	0.0	0.0	0.0	0.999	0.946
248	1.0	0.999	0.676	1.0	1.0	0.0	0.0	0.0	0.0	0.999	0.972
249	1.0	0.999	0.833	1.0	0.999	0.0	0.0	0.0	0.0	0.987	0.986
250	1.0	0.998	0.907	1.0	0.999	0.0	0.0	0.0	0.0	0.197	0.993
251	1.0	0.996	0.891	0.999	0.999	0.0	0.0	0.0	0.0	0.224	1.0
252	0.999	0.978	0.753	0.999	0.999	0.0	0.0	0.0	0.0	0.189	1.0
253	1.0	0.977	0.804	0.999	0.999	0.0	0.0	0.0	0.0	0.136	1.0
254	1.0	0.986	0.778	0.999	0.999	0.0	0.0	0.0	0.0	0.095	1.0
255	1.0	0.978	0.729	1.0	0.999	0.0	0.0	0.0	0.0	0.049	1.0
256	1.0	0.997	0.784	1.0	0.999	0.0	0.0	0.0	0.0	0.029	1.0
257	1.0	0.999	0.875	1.0	1.0	0.0	0.0	0.0	0.0	0.016	1.0
258	1.0	0.999	0.911	1.0	1.0	0.0	0.0	0.0	0.0	0.052	1.0
259	1.0	0.999	0.964	1.0	1.0	0.0	0.0	0.0	0.0	0.197	1.0
260	1.0	1.0	0.997	0.999	1.0	0.0	0.0	0.0	0.0	0.843	1.0
261	1.0	1.0	0.984	0.999	1.0	0.0	0.0	0.0	0.0	1.0	1.0
262	1.0	1.0	0.997	0.999	1.0	0.0	0.0	0.0	0.0	1.0	1.0
263	1.0	1.0	0.995	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
264	1.0	1.0	0.975	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
265	1.0	0.997	0.882	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
266	0.999	0.999	0.649	0.999	1.0	0.0	0.0	0.0	0.0	1.0	1.0
267	1.0	1.0	0.756	1.0	0.998	0.0	0.0	0.0	0.0	1.0	1.0
268	0.995	0.999	0.833	0.999	1.0	0.0	0.0	0.0	0.0	1.0	1.0
269	0.997	0.999	0.567	0.999	1.0	0.0	0.0	0.0	0.0	1.0	1.0
270	0.999	0.937	0.355	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
271	0.999	0.79	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.999	1.0
272	0.999	1.0	0.621	1.0	0.329	0.0	0.0	0.0	0.0	1.0	1.0
273	0.992	0.999	0.539	0.999	0.78	0.0	0.0	0.0	0.0	0.154	1.0
274	0.997	0.745	0.577	1.0	0.999	0.0	0.0	0.0	0.0	1.0	0.999
275	0.998	0.985	0.922	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.999
276	0.997	0.796	0.795	1.0	1.0	0.0	0.0	0.0	0.0	0.96	1.0
277	0.794	0.835	0.71	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
278	0.804	0.618	0.676	1.0	0.999	0.0	0.0	0.0	0.0	0.989	0.846
279	0.789	0.746	0.486	1.0	1.0	0.0	0.0	0.0	0.0	0.987	1.0
280	0.872	0.859	0.515	0.978	0.999	0.0	0.0	0.0	0.0	0.988	1.0
281	0.864	0.786	0.794	0.915	0.656	0.0	0.0	0.0	0.0	1.0	1.0
282	0.971	0.807	0.932	0.928	0.822	0.0	0.0	0.0	0.0	1.0	1.0
283	0.994	0.734	0.949	0.989	0.941	0.0	0.0	0.0	0.0	1.0	1.0
284	0.983	0.979	0.96	0.933	0.902	0.0	0.0	0.0	0.0	1.0	0.697
285	0.999	0.965	0.98	0.97	0.94	0.0	0.0	0.0	0.0	1.0	0.0
286	0.999	0.961	0.984	0.945	0.958	0.0	0.0	0.0	0.0	1.0	1.0
287	0.966	0.871	0.97	0.372	0.878	0.0	0.0	0.0	0.0	1.0	1.0
288	0.999	0.973	0.985	0.386	0.928	0.0	0.0	0.0	0.0	1.0	1.0
289	1.0	0.982	0.995	0.068	0.917	0.0	0.0	0.0	0.0	0.993	0.0
290	0.996	0.982	0.999	0.073	0.995	0.0	0.0	0.0	0.0	0.998	0.0
291	0.997	0.987	0.994	0.406	0.993	0.0	0.0	0.0	0.0	1.0	0.0
