param solar_avail : A	B	C	D	E	F	G	H	I	J	K :=
290	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
297	0.011	0.01	0.01	0.013	0.016	0.043	0.058	0.06	0.06	0.06	0.06
298	0.085	0.088	0.101	0.079	0.08	0.159	0.185	0.186	0.186	0.186	0.186
299	0.231	0.239	0.182	0.211	0.294	0.085	0.135	0.271	0.271	0.271	0.271
300	0.393	0.249	0.3	0.344	0.332	0.106	0.339	0.337	0.337	0.337	0.337
301	0.416	0.317	0.37	0.374	0.308	0.254	0.306	0.447	0.447	0.447	0.447
