param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
139	4455.24	2879.15	5037.31	1484.27	2490.91	3722.09	3100.23	932.47	1788.88	14973.28	6514.42
140	4452.99	2851.39	4998.8	1512.22	2488.52	3692.2	3083.54	924.19	1780.4	14954.81	6473.52
141	4471.62	2839.86	4978.01	1523.52	2462.87	3685.6	3079.89	925.74	1776.01	14964.84	6453.68
142	4424.03	2780.17	4893.03	1513.99	2422.63	3631.79	3040.21	901.81	1755.32	14841.73	6350.76
143	4307.77	2689.52	4750.17	1496.44	2345.42	3538.4	2952.74	874.58	1704.61	14588.21	6161.73
144	4190.55	2606.58	4629.42	1487.19	2271.27	3445.67	2871.61	846.32	1653.6	14306.29	5962.47
145	4107.89	2556.26	4570.21	1488.31	2236.46	3389.06	2801.11	834.92	1605.56	13995.44	5799.01
146	4063.08	2528.04	4530.09	1460.3	2221.48	3366.37	2764.19	817.43	1587.3	13771.64	5670.26
147	4084.21	2534.69	4550.84	1457.17	2233.6	3374.81	2769.13	818.01	1572.35	13706.13	5652.82
148	4111.53	2550.16	4588.11	1468.72	2242.71	3402.86	2787.59	823.82	1573.23	13721.38	5669.74
149	4171.94	2590.72	4648.64	1486.76	2260.36	3454.94	2836.38	840.44	1594.55	13875.0	5750.14
150	4242.87	2642.76	4741.91	1511.88	2300.28	3506.53	2883.8	859.56	1622.95	14051.71	5836.48
151	4346.87	2717.41	4860.04	1538.67	2366.87	3599.36	2953.68	883.58	1662.12	14325.57	5970.84
152	4397.52	2770.73	4953.5	1550.73	2437.72	3674.03	3047.31	899.41	1692.42	14537.63	6044.13
153	4360.42	2752.58	4947.13	1528.64	2473.38	3663.12	3024.85	911.3	1694.08	14518.12	6032.73
154	4219.58	2665.33	4805.17	1466.31	2400.9	3590.71	2946.23	889.82	1637.98	14148.44	5844.51
155	4010.14	2548.2	4582.64	1390.13	2312.17	3446.1	2819.3	848.14	1580.26	13682.78	5577.24
