param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
153	3958.57	2499.91	4457.48	1389.65	2218.86	3293.55	2727.78	815.5	1537.75	13191.97	5474.0
154	3809.11	2406.84	4305.79	1326.37	2142.68	3208.91	2641.58	791.94	1478.57	12775.29	5272.98
155	3599.75	2287.04	4084.18	1250.51	2051.5	3062.2	2513.4	751.12	1416.8	12268.49	5002.2
156	3437.26	2189.69	3892.78	1216.0	1963.6	2910.51	2383.87	710.38	1353.34	11764.83	4745.27
157	3255.46	2088.48	3700.92	1120.55	1891.65	2775.77	2263.25	670.47	1281.15	11250.24	4500.37
158	3126.78	1998.84	3525.7	1087.58	1795.88	2668.66	2167.78	638.87	1227.89	10815.12	4319.78
159	3036.0	1955.98	3427.57	1028.9	1738.45	2592.46	2059.37	623.69	1192.34	10486.77	4206.08
160	2972.3	1935.09	3389.48	1040.86	1717.81	2582.16	2016.0	628.02	1185.97	10356.88	4204.69
161	3049.27	2007.05	3503.53	1036.31	1798.38	2685.03	2215.18	654.92	1239.7	10593.94	4436.91
162	3208.29	2109.55	3672.39	1082.08	1871.12	2823.45	2340.77	700.92	1311.23	10959.44	4744.02
163	3238.01	2106.44	3678.02	1092.87	1885.15	2818.71	2300.75	707.86	1314.86	11076.83	4781.48
164	3189.12	2057.1	3607.4	1065.53	1867.34	2762.12	2242.72	699.06	1290.77	10956.35	4697.34
165	3118.67	1997.74	3504.54	1060.79	1827.88	2687.46	2196.54	680.33	1267.74	10776.55	4589.84
166	3013.49	1907.48	3353.95	1031.82	1735.45	2562.13	2107.61	645.87	1228.59	10456.02	4390.13
167	2888.65	1804.25	3209.33	1009.23	1644.39	2456.68	2056.06	604.13	1169.94	10114.31	4176.36
168	2779.3	1728.9	3074.07	994.65	1595.14	2363.81	1928.19	565.44	1112.77	9719.94	3966.38
169	2698.21	1668.66	2973.67	979.68	1558.13	2290.49	1869.51	540.4	1063.03	9340.09	3789.76
170	2638.37	1622.08	2891.37	966.69	1515.97	2232.29	1799.11	528.07	1028.78	9071.38	3673.1
171	2594.54	1602.28	2839.05	952.58	1503.32	2196.41	1763.53	518.56	1004.85	8846.71	3586.31
172	2558.2	1583.81	2804.97	939.21	1483.07	2176.16	1737.42	512.84	984.05	8706.14	3522.23
173	2583.49	1606.34	2858.17	943.04	1491.0	2198.03	1750.98	519.65	992.57	8757.06	3554.9
174	2678.65	1701.85	3018.52	963.98	1558.97	2290.27	1825.05	549.17	1037.65	9067.7	3699.8
